Codi circumscripci�,Codi municipi,Nom municipi,Districte,Secci�,Mesa,Cens electoral,Votants,% votants,Abstenci�,% abstenci�,Vots nuls,% vots nuls,Vots en blanc,% vots en blanc, Vots a candidatures,% vots a candidatures,Vots v�lids,% vots v�lids,Codi comarca,Nom comarca
8,228,Sant Mart� Sesgueioles                            ,1,1,U,280,248,"088,57",32,"011,43",3,"001,21",1,"000,40",244,"098,39",245,"098,79",6,Anoia                                   
8,229,Sant Mateu de Bages                               ,1,1,A,140,121,"086,43",19,"013,57",0,"000,00",0,"000,00",121,"100,00",121,"100,00",7,Bages                                   
8,229,Sant Mateu de Bages                               ,1,1,B,383,340,"088,77",43,"011,23",0,"000,00",1,"000,29",339,"099,71",340,"100,00",7,Bages                                   
8,230,Premi� de Dalt                                    ,1,1,A,862,779,"090,37",83,"009,63",2,"000,26",3,"000,39",774,"099,36",777,"099,74",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,1,B,981,875,"089,19",106,"010,81",2,"000,23",8,"000,91",865,"098,86",873,"099,77",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,2,A,647,561,"086,71",86,"013,29",0,"000,00",2,"000,36",559,"099,64",561,"100,00",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,2,B,839,722,"086,05",117,"013,95",0,"000,00",3,"000,42",719,"099,58",722,"100,00",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,3,A,470,376,"080,00",94,"020,00",1,"000,27",2,"000,53",373,"099,20",375,"099,73",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,3,B,590,453,"076,78",137,"023,22",5,"001,10",3,"000,66",445,"098,23",448,"098,90",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,4,A,689,592,"085,92",97,"014,08",3,"000,51",6,"001,01",583,"098,48",589,"099,49",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,4,B,644,567,"088,04",77,"011,96",1,"000,18",1,"000,18",565,"099,65",566,"099,82",21,Maresme                                 
8,230,Premi� de Dalt                                    ,1,5,U,707,572,"080,91",135,"019,09",7,"001,22",6,"001,05",559,"097,73",565,"098,78",21,Maresme                                 
